1.9917128086090088,1,2,(4, 5),-1172
1.990325689315796,1,2,(3, 7),-1002
1.9910962581634521,1,2,(2, 7),1102
1.9900507926940918,1,2,(4, 7),1338
1.9905178546905518,1,2,(3, 9),-372
1.9900281429290771,1,2,(2, 6),-1910
1.9906597137451172,1,2,(1, 4),2444
1.9903340339660645,1,2,(1, 7),342
1.9909617900848389,1,2,(3, 4),2336
1.9900267124176025,1,2,(0, 8),-1252
1.9904186725616455,1,2,(0, 6),1168
1.9909579753875732,1,2,(0, 10),-2550
1.9901988506317139,1,2,(1, 9),-1896
1.9903366565704346,1,2,(1, 5),180
1.9902148246765137,1,2,(0, 4),-1552
1.9904170036315918,1,2,(0, 2),-1416
1.990896463394165,1,2,(1, 3),-1922
1.9908409118652344,1,2,(3, 3),-1922
1.9902091026306152,2,1,(5, 7),370
1.9905438423156738,2,1,(3, 7),1258
1.990349292755127,2,1,(3, 9),1258
1.990206003189087,2,1,(1, 6),1258
1.9905314445495605,2,1,(3, 6),-1149
1.9908483028411865,2,1,(3, 4),-288
1.9905238151550293,2,1,(3, 5),-292
1.9920787811279297,2,1,(1, 9),-988
1.9902551174163818,2,1,(1, 11),1298
1.9914586544036865,2,1,(3, 2),1128
1.9900710582733154,2,1,(1, 8),1394
1.9908735752105713,2,1,(3, 10),-494
1.9900474548339844,2,1,(0, 6),1810
1.990508794784546,2,1,(2, 6),1810
1.9909553527832031,2,1,(0, 7),-1714
1.9916903972625732,2,1,(4, 6),-790
1.990004539489746,2,1,(2, 11),1210
1.9903244972229004,2,1,(0, 4),-790
1.9909181594848633,2,1,(0, 8),976
1.9908957481384277,2,1,(1, 5),637
1.991023063659668,2,1,(1, 3),1574
1.991762638092041,2,1,(1, 4),686
1.9917223453521729,2,1,(1, 1),-1465
1.99190092086792,2,1,(1, 2),-1337
1.9901742935180664,2,1,(1, 0),-1337
1.9907829761505127,2,1,(2, 1),1864
1.9909744262695312,2,1,(0, 2),1864
1.990959882736206,2,1,(3, 1),1864
1.9900627136230469,2,1,(4, 1),1864
1.9904043674468994,2,1,(4, 2),-1526
1.9912528991699219,2,1,(4, 4),1664
1.9916110038757324,2,1,(4, 9),1664
1.9908170700073242,2,1,(4, 11),1498
1.9901480674743652,2,1,(5, 0),1664
1.9903664588928223,2,1,(5, 8),1664
1.9909334182739258,2,1,(5, 9),1676
1.9902968406677246,2,1,(6, 1),1676
1.9913594722747803,2,1,(6, 2),1324
1.9907050132751465,2,1,(6, 3),1348
1.9913685321807861,2,1,(6, 4),1232
